PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Chen, ZJ; Xu, GB; Yan, JG; Kuang, Z; Chen, TH; Li, DH				Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.; Chen, T. H.; Li, D. H.			First-principles investigation of mechanical and electronic properties of MFeAs (M = Cu, Li, and Na)	JOURNAL OF APPLIED PHYSICS			English	Article							ELASTIC PROPERTIES; SUPERCONDUCTIVITY; PEROVSKITE; BAFE2AS2; LIFEAS	Mechanical and electronic properties of Cu2Sb-type compounds MFeAs (M = Cu, Li, and Na) have been studied by the first-principles calculations. The main trends in structure parameters, mechanical parameters, electronic bands, and densities of states (DOS) for MFeAs are analyzed according to the variable cation M sites. Our results show that the lattice constants increase, while the bulk modulus, shear modulus, and Young's modulus decrease with the increasing radii of M sites in the sequence CuFeAs -> LiFeAs -> NaFeAs. Mulliken overlap population indicates that different M atoms in MFeAs (M = Cu, Li, and Na) would influence the bond nature of Fe-As, which may induce the superconductivity. The disappearance of the hole-pockets affects the superconductivity in CuFeAs. Although the value of the DOSs N(E-F) at the Fermi level grows with decreasing radii of M sites, it is not the only factor influencing the superconductivity. Due to the repulsive interaction between Cu-3d and Fe-3d states in CuFeAs phase, it would change the position of Fe-3d orbits and Fermi energy level after introducing Cu in this structure. Therefore, after introducing Cu in the structure would induce the different position of Fe-3d states and Fermi energy level. Therefore, we believe that the component M has an important influence on the superconductivity. Published by AIP Publishing.	[Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.] Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China; [Chen, T. H.] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Peoples R China; [Li, D. H.] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China	Chen, ZJ (reprint author), Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China.	zjchen@uestc.edu.cn			National research project of China West Normal University [13C008]; Key Projects of Sichuan Provincial Education Department [2016ZD1662]; Basic Research Project of Science and Technology Department of Sichuan Province [2014JY0133]	The authors acknowledge the support from the National research project of China West Normal University (13C008); the Key Projects of Sichuan Provincial Education Department (2016ZD1662); and the Basic Research Project of Science and Technology Department of Sichuan Province (2014JY0133).		51	0	0	3	3	AMER INST PHYSICS	MELVILLE	1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA	0021-8979	1089-7550		J APPL PHYS	J. Appl. Phys.	DEC 21	2016	120	23							235103	10.1063/1.4969042		8	Physics, Applied	Physics	EH3PZ	WOS:000391685500028		
J	He, LH; Zou, X; Wang, T; Zheng, QJ; Liao, J; Xu, CG; Liu, YF; Lin, DM				He, Lihua; Zou, Xiao; Wang, Tao; Zheng, Qiaoji; Liao, Jie; Xu, Chenggang; Liu, Yongfu; Lin, Dunmin			Cation-Induced Variation of Micromorphology and Luminescence Properties of Tungstate Phosphors by a Hydrothermal Method	INORGANIC CHEMISTRY			English	Article							ENERGY-TRANSFER; METAL TUNGSTATES; GROWTH-MECHANISM; GREEN PHOSPHOR; POLYMER-FILM; PHOTOLUMINESCENCE; CO; NANOSTRUCTURES; NANOPARTICLES; MICROCRYSTALS	Eu3+-doped MWO4 (M = Zn, Cd, Ca, Sr, or Ba) nanorods and rodlike, spherical, dumbbell-like, and double-tapter-like grains have been obtained via a hydrothermal method. The distinct differences in cationic radius lead to a special morphology, which is attributed to the symmetry of the crystal structure and the differences in the growth rates of various crystals, and it further leads to the variation of luminescence. It was found that the charge transfer band of MWO4:0.04Eu(3+) exhibits a blue shift with an increasing cationic radius, and the shift is ascribed to less covalency being caused by an increase in the cationic radius. The emission intensity obviously increases with cationic radius, increasing for the samples with a monoclinic phase; however, it is the opposite for the samples with a tetragonal phase, and CaWO4:0.04Eu(3+) exhibits an optimal emission intensity. In addition, the possible reasons for the decay lifetime are also discussed in detail. Our results indicate that cations can effectively control the crystal structure, micromorphology, and luminescence in tungstate phosphors, and thus, our approach is effective for obtaining materials with the desired morphology and crystal structure.	[He, Lihua; Zou, Xiao; Wang, Tao; Zheng, Qiaoji; Liao, Jie; Xu, Chenggang; Lin, Dunmin] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China; [Liu, Yongfu] Chinese Acad Sci, Ningbo Inst Mat Technol & Engn, Ningbo 315201, Zhejiang, Peoples R China	Lin, DM (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China.; Liu, YF (reprint author), Chinese Acad Sci, Ningbo Inst Mat Technol & Engn, Ningbo 315201, Zhejiang, Peoples R China.	liuyongfu@nimte.ac.cn; ddmd222@sicnu.edu.cn		liu, yong fu/0000-0002-9502-5897; Lin, Dunmin/0000-0002-2245-6717	National Natural Science Foundation of China (NSFC) [11404351]; Education Department of Sichuan Province [15ZA0037, 15ZA0034]; Science and Technology Bureau of Sichuan Province [2016JY0225]; Sichuan Normal University [DJ 2015-43, DJ 2016-42, DJ 2016-52]	This work is financially supported by the National Natural Science Foundation of China (NSFC 11404351), the Education Department of Sichuan Province (15ZA0037 and 15ZA0034), the Science and Technology Bureau of Sichuan Province (2016JY0225), and the large precision instrument projects of Sichuan Normal University (DJ 2015-43, DJ 2016-42, and DJ 2016-52).		52	0	0	8	8	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0020-1669	1520-510X		INORG CHEM	Inorg. Chem.	DEC 19	2016	55	24					12944	12952		10.1021/acs.inorgchem.6b02352		9	Chemistry, Inorganic & Nuclear	Chemistry	EF4KQ	WOS:000390294600057	27989187	
J	Wang, Y; Wang, XH; Liu, FN; Jiang, XN; Xiao, Y; Dong, XH; Kong, XL; Yang, XM; Tian, DH; Qu, ZY				Wang, Yang; Wang, Xiaohua; Liu, Fangnan; Jiang, Xiaoning; Xiao, Yun; Dong, Xuehan; Kong, Xianglei; Yang, Xuemei; Tian, Donghua; Qu, Zhiyong			Negative Life Events and Antenatal Depression among Pregnant Women in Rural China: The Role of Negative Automatic Thoughts	PLOS ONE			English	Article							POSTNATAL DEPRESSION; POSTPARTUM DEPRESSION; PERINATAL DEPRESSION; RISK-FACTORS; TAIWANESE WOMEN; SOCIAL SUPPORT; MENTAL-HEALTH; HELP-SEEKING; PREVALENCE; SCALE	Background Few studies have looked at the relationship between psychological and the mental health status of pregnant women in rural China. The current study aims to explore the potential mediating effect of negative automatic thoughts between negative life events and antenatal depression. Methods Data were collected in June 2012 and October 2012. 495 rural pregnant women were interviewed. Depressive symptoms were measured by the Edinburgh postnatal depression scale, stresses of pregnancy were measured by the pregnancy pressure scale, negative automatic thoughts were measured by the automatic thoughts questionnaire, and negative life events were measured by the life events scale for pregnant women. We used logistic regression and path analysis to test the mediating effect. Results The prevalence of antenatal depression was 13.7%. In the logistic regression, the only socio-demographic and health behavior factor significantly related to antenatal depression was sleep quality. Negative life events were not associated with depression in the fully adjusted model. Path analysis showed that the eventual direct and general effects of negative automatic thoughts were 0.39 and 0.51, which were larger than the effects of negative life events. Conclusions This study suggested that there was a potentially significant mediating effect of negative automatic thoughts. Pregnant women who had lower scores of negative automatic thoughts were more likely to suffer less from negative life events which might lead to antenatal depression.	[Wang, Yang] Univ Illinois, Sch Social Work, Champaign, IL USA; [Wang, Xiaohua; Tian, Donghua; Qu, Zhiyong] Beijing Normal Univ, China Inst Hlth, Sch Social Dev & Publ Policy, Beijing, Peoples R China; [Liu, Fangnan; Jiang, Xiaoning; Dong, Xuehan; Kong, Xianglei] Beijing Normal Univ, Sch Social Dev & Publ Policy, Beijing, Peoples R China; [Xiao, Yun] Maternal & Child Hlth Hosp Mianzhu Cty, Deyang, Sichuan, Peoples R China; [Yang, Xuemei] Sichuan Normal Univ, Teacher Educ Coll, Chengdu, Sichuan, Peoples R China	Qu, ZY (reprint author), Beijing Normal Univ, China Inst Hlth, Sch Social Dev & Publ Policy, Beijing, Peoples R China.	qzy@bnu.edu.cn	Mei, Lin/F-8111-2017		Beijing Normal University Education Foundation	The study was sponsored by the project of psychological services to children and adults affected by the earthquake in Sichuan Province of the Beijing Normal University Education Foundation.		64	0	0	10	10	PUBLIC LIBRARY SCIENCE	SAN FRANCISCO	1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA	1932-6203			PLOS ONE	PLoS One	DEC 15	2016	11	12							0167597	10.1371/journal.pone.0167597		14	Multidisciplinary Sciences	Science & Technology - Other Topics	EG7HN	WOS:000391217400023		
J	Hayat, S; Koolen, JH; Liu, FJ; Qiao, Z				Hayat, Sakander; Koolen, Jack H.; Liu, Fenjin; Qiao, Zhi			A note on graphs with exactly two main eigenvalues	LINEAR ALGEBRA AND ITS APPLICATIONS			English	Article						Main eigenvalues; Harmonic graphs; Strong graphs; Seidel switching; Regular two-graphs		In this note, we consider connected graphs with exactly two main eigenvalues. We will give several constructions for them, and as a consequence we show the existence of a family of such graphs with an unbounded number of distinct valencies. (C) 2016 Elsevier Inc. All rights reserved.	[Hayat, Sakander] Univ Sci & Technol China, Sch Math Sci, Hefei 230026, Anhui, Peoples R China; [Koolen, Jack H.] Univ Sci & Technol China, Wen Tsun Wu Key Lab CAS, Hefei 230026, Anhui, Peoples R China; [Koolen, Jack H.] Univ Sci & Technol China, Sch Math Sci, Hefei 230026, Anhui, Peoples R China; [Liu, Fenjin] Changan Univ, Sch Sci, Xian 710064, Shaanxi, Peoples R China; [Qiao, Zhi] Sichuan Normal Univ, Coll Math & Software Sci, Chengdu 610068, Sichuan, Peoples R China	Koolen, JH (reprint author), Univ Sci & Technol China, Wen Tsun Wu Key Lab CAS, Hefei 230026, Anhui, Peoples R China.; Koolen, JH (reprint author), Univ Sci & Technol China, Sch Math Sci, Hefei 230026, Anhui, Peoples R China.	sakander@mail.ustc.edu.cn; koolen@ustc.edu.cn; fenjinliu@yahoo.com; zhiqiao@sicnu.edu.cn		Koolen, Jack/0000-0002-8623-5681	CAS-TWAS president's fellowship at USTC China; National Natural Science Foundation of China [11471009, 11401044]; Postdoctoral Science Foundation of China [2014M560754]	S.H is supported by a CAS-TWAS president's fellowship at USTC China.; J.H.K. is partially supported by the National Natural Science Foundation of China (No. 11471009).; F.L is supported by National Natural Science Foundation of China grant No. 11401044 and Postdoctoral Science Foundation of China No. 2014M560754.		17	0	0	3	3	ELSEVIER SCIENCE INC	NEW YORK	360 PARK AVE SOUTH, NEW YORK, NY 10010-1710 USA	0024-3795	1873-1856		LINEAR ALGEBRA APPL	Linear Alg. Appl.	DEC 15	2016	511						318	327		10.1016/j.laa.2016.09.019		10	Mathematics, Applied; Mathematics	Mathematics	EA8BQ	WOS:000386860700016		
J	Liu, Y; Fan, Q; Wang, SX; Liu, YL; Zhou, AL; Fan, L				Liu, Yong; Fan, Qin; Wang, Shixiang; Liu, Yanlan; Zhou, Anlan; Fan, Lu			Adsorptive removal of fluoride from aqueous solutions using Al-humic acid-La aerogel composites	CHEMICAL ENGINEERING JOURNAL			English	Article						Fluoride; Adsorption; Sodium humate; Aerogels composite; High adsorption capacity	SILICA-GEL SURFACE; DRINKING-WATER; ALUMINUM; ADSORBENT; EARTH; DEFLUORIDATION; MECHANISM; ARSENATE; CARBON; OXIDE	A novel and environmental friendly aerogel composite was synthesized by freeze-drying method using humic acid as low cost starting material. The as-prepared aluminum-humic acid-lanthanum (Al-HA-La) aerogel composites were fully characterized by nitrogen adsorption-desorption, SEM, EDX, XRD, FTIR and TGA Then, the adsorption behaviors of fluoride on Al-HA-La adsorbent were investigated systematically, including the influence of initial pH, adsorption kinetics, adsorption isotherms, desorption study, etc. Batch adsorption experimental results showed that the high fluoride removal of Al-HA-La was obtained in a wide initial pH range from 5 to 11. The adsorption equilibrium was achieved within 40 min (pH = 7.0), and the adsorption kinetics could be well fitted by the pseudo-second-order model. The adsorption isotherms could be well described by the Langmuir isotherm model and the maximum adsorption capacity calculated from Langmuir model was high up to 50 mg g(-1) at 298 K (pH = 7.0). Moreover, the co-existing of other anions and cations showed limited influence on the adsorption of fluoride on Al-HA-La. Furthermore, the fluoride adsorbed on Al-HA-La could be effectively desorbed using 10(-2) mol L-1 NaOH, and the desorption efficiency was as high as 90%. (C) 2016 Elsevier B.V. All rights reserved.	[Liu, Yong; Fan, Qin; Wang, Shixiang; Liu, Yanlan; Zhou, Anlan; Fan, Lu] Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China; [Liu, Yong; Wang, Shixiang; Fan, Lu] Key Lab Treatment Special Wastewater Sichuan Prov, Chengdu 610066, Sichuan, Peoples R China	Fan, L (reprint author), Sichuan Normal Univ, Coll Chem & Mat Sci, Chengdu 610066, Peoples R China.	fanlu0923@gmail.com			Education Department of Sichuan Provincial [15ZA0008]; Key Laboratory of Special Wastewater Treatment, Sichuan Province Higher Education System [SWWT2014-2]	This research is supported by Education Department of Sichuan Provincial (No. 15ZA0008) and Key Laboratory of Special Wastewater Treatment, Sichuan Province Higher Education System (No. SWWT2014-2). We would like to thank the Sichuan University Analytical and Testing Center for the characterization of samples.		47	3	3	48	48	ELSEVIER SCIENCE SA	LAUSANNE	PO BOX 564, 1001 LAUSANNE, SWITZERLAND	1385-8947	1873-3212		CHEM ENG J	Chem. Eng. J.	DEC 15	2016	306						174	185		10.1016/j.cej.2016.07.036		12	Engineering, Environmental; Engineering, Chemical	Engineering	EA2KH	WOS:000386420700021		
J	Wang, T; Wu, H; Ding, Y; Ji, XL; Zhao, DM				Wang, Tao; Wu, Hao; Ding, Yi; Ji, Xiaoling; Zhao, Daomu			Changes in the spectral degree of coherence of a light wave on scattering from a particulate medium	OPTICS COMMUNICATIONS			English	Article						Light wave scattering; Particulate medium; Spectral coherence	QUASI-HOMOGENEOUS MEDIA; INVERSE PROBLEMS; PARTICLES; SYSTEM; BEAM	The spectral degree of coherence of light wave on scattering from a collection of particles is discussed. It is shown that both the characteristic of each particle and the distribution of particles in the collection play roles in the spectral degree of coherence of the far-zone scattered field. Two special cases, i.e. a collection of random particles with determinate distribution and a collection of determinate particles with random distribution, are discussed, and the particle-induced coherence change and the distribution-induced coherence change are found in the scattered field. (C) 2016 Elsevier B.V. All rights reserved.	[Wang, Tao; Wu, Hao; Ding, Yi; Ji, Xiaoling] Sichuan Normal Univ, Dept Phys, Chengdu 610068, Peoples R China; [Zhao, Daomu] Zhejiang Univ, Dept Phys, Hangzhou 310027, Zhejiang, Peoples R China	Wang, T (reprint author), Sichuan Normal Univ, Dept Phys, Chengdu 610068, Peoples R China.	towerwang@126.com			National Natural Science Foundation of China (NSFC) [11404231, 11474253, 61475105]	This research was supported by the National Natural Science Foundation of China (NSFC) under grants 11404231, 11474253 and 61475105.		21	2	2	14	21	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0030-4018	1873-0310		OPT COMMUN	Opt. Commun.	DEC 15	2016	381						210	213		10.1016/j.optcom.2016.06.090		4	Optics	Optics	DX4YY	WOS:000384388200034		
J	Yin, SB; Wang, WX; Wang, YB; Li, DP; Deng, Z				Yin Shi-Bai; Wang Wei-Xing; Wang Yi-Bin; Li Da-Peng; Deng Zhen			Fast Bayesian blind restoration for single defocus image with iterative joint bilateral filters	ACTA PHYSICA SINICA			Chinese	Article						machine vision; Bayesian framework; joint bilateral filtering; image blind restoration	DECONVOLUTION	It is significant to realize effective defocus image restoration for acquiring clear image in military and geological examination field. Most of existing algorithms have the problems of large computational cost, ringing and noise sensitivity, hence a novel approach by iterative joint bilateral filtering under Bayesian framework is proposed. Firstly, it utilizes defocus image depth estimation to compute the point spread function in the Bayesian framework. Then a minimum optimization problem is built to represent the blind restoration problem. After inferencing the solution procedure of the minimum optimization problem, we find that the joint bilateral filters can be used to search the optimal solution, which not only simplifies the searching procedure but also reduces the computational cost. Finally, an iterative joint bilateral filtering is designed to realize the image restoration. That means that the original restored image obtained from the bilateral filtering is used to design the guide image for the joint bilateral filters, and the guide image will serve as the input of the optimization problem for acquiring the better optimal result. This procedure is repeated until convergence. The experimental results indicate that this method can yield the ringing, reduce the computational cost, and remove the noise. Generally speaking, the average pixel error of 85% images is under 0.03, which has improved 19% comparing with the same error rang of existing algorithms, and 78% shorter than those of compared algorithms. It can be used in the engineering practice of blind restoration for single defocus image.	[Yin Shi-Bai; Li Da-Peng] Southwestern Univ Finance & Econ, Dept Econ Informat Engn, Chengdu 611130, Peoples R China; [Wang Wei-Xing] Changan Univ, Dept Informat Engn, Xian 710064, Peoples R China; [Wang Yi-Bin] Sichuan Normal Univ, Dept Engn, Chengdu 610101, Peoples R China; [Deng Zhen] Ningxia Univ, Dept Informat Engn, Yinchuan 750021, Peoples R China	Yin, SB (reprint author), Southwestern Univ Finance & Econ, Dept Econ Informat Engn, Chengdu 611130, Peoples R China.	shibaiyin@swufe.edu.cn			Major Program of the National Natural Science Foundation of China [91218301]; Young Scientists Fund of the National Natural Science Foundation of China [61502396]; Fundamental Research Fund for the Central Universities, China [JBK150503, JBK160135]; Natural Science Foundation of Ningxia, China [NZ15054]	Project supported by the Major Program of the National Natural Science Foundation of China (Grant No. 91218301), the Young Scientists Fund of the National Natural Science Foundation of China (Grant No. 61502396), the Fundamental Research Fund for the Central Universities, China (Grant Nos. JBK150503, JBK160135), and the Natural Science Foundation of Ningxia, China (Grant No. NZ15054).		21	0	0	5	5	CHINESE PHYSICAL SOC	BEIJING	P O BOX 603, BEIJING 100080, PEOPLES R CHINA	1000-3290			ACTA PHYS SIN-CH ED	Acta Phys. Sin.	DEC 5	2016	65	23							234202	10.7498/aps.65.234202		8	Physics, Multidisciplinary	Physics	EJ0SZ	WOS:000392922100013		
J	Liu, HB; Liao, QY				Liu, Haibo; Liao, Qunying			Some New Constructions for Generalized Zero-Difference Balanced Functions	INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE			English	Article						Zero-difference balanced (ZDB) function; generalized ZDB function; cyclotomic coset; difference systems of sets; constant composition code; frequency-hopping sequence	CONSTANT-COMPOSITION CODES; SEQUENCES	Zero-difference balanced (ZDB) functions have many applications in coding theory, cryptography and communications engineering and so on. Recently, the authors 0,11] generalized the definition of ZDB functions to be G-ZDB functions. In this paper, based on p-cyclotornic cosets, two classes of ZDB functions are obtained, and several new classes of C-ZDB functions are constructed. Furthermore, some frequency-hopping sequences are obtained directly from G-ZI)B functions.	[Liu, Haibo; Liao, Qunying] Sichuan Normal Univ, Inst Math & Software Sci, Chengdu, Sichuan, Peoples R China	Liu, HB (reprint author), Sichuan Normal Univ, Inst Math & Software Sci, Chengdu, Sichuan, Peoples R China.	1075509561@qq.com; qunyingliao@sicnu.edu.cn			Natural Science Foundation of China [11401408]; Project of Science and Technology Department of Sichuan Province [2016JY0134]	This work is supported by the Natural Science Foundation of China with No. 11401408, and Project of Science and Technology Department of Sichuan Province with No. 2016JY0134.		23	0	0	0	0	WORLD SCIENTIFIC PUBL CO PTE LTD	SINGAPORE	5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE	0129-0541	1793-6373		INT J FOUND COMPUT S	Int. J. Found. Comput. Sci.	DEC	2016	27	8					897	908		10.1142/S0129054116500362		12	Computer Science, Theory & Methods	Computer Science	EM1ZK	WOS:000395115800001		
J	Wei, GW				Wei, Guiwu			Interval valued hesitant fuzzy uncertain linguistic aggregation operators in multiple attribute decision making	INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS			English	Article						Multiple attribute decision making (MADM); Interval valued hesitant fuzzy uncertain linguistic values; Interval valued hesitant fuzzy uncertain linguistic	PARTICLE SWARM OPTIMIZATION; PREFERENCE RELATIONS; NEURAL-NETWORK; ERP SYSTEM; INFORMATION; SETS; MODEL; ENVIRONMENT; PREDICTION; DISTANCE	In this paper, we investigate the multiple attribute decision making problem based on the arithmetic and geometric aggregation operators with interval valued hesitant fuzzy uncertain linguistic information. Then, motivated by the ideal of traditional arithmetic and geometric operation, we shall develop some aggregation operators for aggregating interval valued hesitant fuzzy uncertain linguistic information: interval valued hesitant fuzzy uncertain linguistic arithmetic aggregation operators, interval valued hesitant fuzzy uncertain linguistic geometric aggregation operators, interval valued hesitant fuzzy uncertain linguistic correlated aggregation operators, induced interval valued hesitant fuzzy uncertain linguistic aggregation operators, induced interval valued hesitant fuzzy uncertain linguistic correlated aggregation operators, interval valued hesitant fuzzy uncertain linguistic prioritized aggregation operators, interval valued hesitant fuzzy uncertain linguistic power aggregation operators. The prominent characteristic of these proposed operators are studied. Then, we shall utilize these operators to develop some approaches to solve the interval valued hesitant fuzzy uncertain linguistic multiple attribute decision making problems. Finally, a practical example is given to verify the developed approach and to demonstrate its practicality and effectiveness.	[Wei, Guiwu] Sichuan Normal Univ, Sch Business, Chengdu 610101, Peoples R China	Wei, GW (reprint author), Sichuan Normal Univ, Sch Business, Chengdu 610101, Peoples R China.	weiguiwu@163.com			Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China [14YJCZH091]	The work was supported by the Humanities and Social Sciences Foundation of Ministry of Education of the People's Republic of China (No. 14YJCZH091).		73	8	8	11	11	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1868-8071	1868-808X		INT J MACH LEARN CYB	Int. J. Mach. Learn. Cybern.	DEC	2016	7	6					1093	1114		10.1007/s13042-015-0433-7		22	Computer Science, Artificial Intelligence	Computer Science	EJ6DR	WOS:000393309300014		
J	Zhu, JY; Liu, JY; Zhou, ZR; Li, L				Zhu, Jianyao; Liu, Jianyi; Zhou, Zhaorong; Li, Li			Resource Allocation Algorithm for Multi-cell Cognitive Radio Networks with Imperfect Spectrum Sensing and Proportional Fairness	ETRI JOURNAL			English	Article						Proportional fairness; Imperfect spectrum sensing; Subcarrier allocation; Power control; Immune algorithm; Sub-gradient method	POWER ALLOCATION; INTERFERENCE	This paper addresses the resource allocation (RA) problem in multi-cell cognitive radio networks. Besides the interference power threshold to limit the interference on primary users PUs caused by cognitive users CUs, a proportional fairness constraint is used to guarantee fairness among multiple cognitive cells and the impact of imperfect spectrum sensing is taken into account. Additional constraints in typical real communication scenarios are also considered-such as a transmission power constraint of the cognitive base stations, unique subcarrier allocation to at most one CU, and others. The resulting RA problem belongs to the class of NP-hard problems. A computationally efficient optimal algorithm cannot therefore be found. Consequently, we propose a suboptimal RA algorithm composed of two modules: a subcarrier allocation module implemented by the immune algorithm, and a power control module using an improved sub-gradient method. To further enhance algorithm performance, these two modules are executed successively, and the sequence is repeated twice. We conduct extensive simulation experiments, which demonstrate that our proposed algorithm outperforms existing algorithms.	[Zhu, Jianyao; Liu, Jianyi] Beijing Univ Posts & Telecommun, Natl Engn Lab Disaster Backup & Recovery, Beijing, Peoples R China; [Zhou, Zhaorong; Li, Li] Sichuan Normal Univ, Sch Phys & Elect Engn, Chengdu, Peoples R China	Liu, JY (reprint author), Beijing Univ Posts & Telecommun, Natl Engn Lab Disaster Backup & Recovery, Beijing, Peoples R China.	zzz66686@sina.com; liujy@bupt.edu.cn; zrzhou@sicnu.edu.cn; wsll320@gmail.com			NSF of China [U1433105]; Beijing Higher Education Young Elite Teacher Project, China [YET0448]; Scientific Research Fund of Sichuan Provincial Education Department, China [14ZA0033, 15CZ0004]	This work was supported by the NSF of China (U1433105), the Beijing Higher Education Young Elite Teacher Project, China (YET0448), and the Scientific Research Fund of Sichuan Provincial Education Department, China (14ZA0033 and 15CZ0004).		25	0	0	6	6	ELECTRONICS TELECOMMUNICATIONS RESEARCH INST	TAEJON	161 KAJONG-DONG, YUSONG-GU, TAEJON 305-350, SOUTH KOREA	1225-6463	2233-7326		ETRI J	ETRI J.	DEC	2016	38	6					1153	1162		10.4218/etrij.16.0115.0535		10	Engineering, Electrical & Electronic; Telecommunications	Engineering; Telecommunications	EH5ZK	WOS:000391851700013		
