PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Chen, QH; Yang, YA; Liu, T; Wang, KL				Chen, Qing-Hu; Yang, Yuan; Liu, Tao; Wang, Ke-Lin			Entanglement dynamics of two independent Jaynes-Cummings atoms without the rotating-wave approximation	PHYSICAL REVIEW A			English	Article							SUDDEN-DEATH; QUANTUM	Entanglement evolution of two independent Jaynes-Cummings atoms without the rotating-wave approximation (RWA) is studied by a numerically exact approach. Previous results based on the RWA are essentially modified in the strong-coupling regime (g >= 0.1), which has been reached in the recent experiments on the flux qubit coupled to the LC resonator. For the initial Bell state with anticorrelated spins, entanglement sudden death (ESD) is absent in the RWA but does appear in the present numerical calculation without the RWA. Aperiodic entanglement evolution in the strong-coupling regime is observed. The strong atom-cavity coupling facilitates the ESD. The sign of the detuning plays an essential role in the entanglement evolution for strong coupling, which is irrelevant in the RWA. Analytical results based on an unitary transformation are also given, which could not modify the RWA picture essentially. It is suggested that the activation of the photons may be the origin of ESD in this system.	[Chen, Qing-Hu; Yang, Yuan] Zhejiang Normal Univ, Ctr Stat & Theoret Condensed Matter Phys, Jinhua 321004, Peoples R China; [Chen, Qing-Hu] Zhejiang Univ, Dept Phys, Hangzhou 310027, Peoples R China; [Liu, Tao] Southwest Univ Sci & Technol, Dept Phys, Mianyang 621010, Peoples R China; [Wang, Ke-Lin] Univ Sci & Technol China, Dept Modern Phys, Hefei 230026, Peoples R China	Chen, QH (reprint author), Zhejiang Normal Univ, Ctr Stat & Theoret Condensed Matter Phys, Jinhua 321004, Peoples R China.				National Natural Science Foundation of China [10974180]; National Basic Research Program of China [2011CB605903, 2009CB929104]; Zhejiang Provincial Natural Science Foundation [Z7080203]; Zhejiang Normal University	The authors acknowledge useful discussions with Y. Y. Zhang, H. Zheng, and S. Y. Zhu. This work was supported by the National Natural Science Foundation of China under Grant No. 10974180, the National Basic Research Program of China (Grants No. 2011CB605903 and No. 2009CB929104), the Zhejiang Provincial Natural Science Foundation under Grant No. Z7080203, and the Program for Innovative Research Team at Zhejiang Normal University.		30	42	47	5	22	AMER PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	1050-2947			PHYS REV A	Phys. Rev. A	NOV 10	2010	82	5							052306	10.1103/PhysRevA.82.052306		7	Optics; Physics, Atomic, Molecular & Chemical	Optics; Physics	678BV	WOS:000284044500002		
J	Tan, B; Peng, R; Li, H; Jin, B; Chu, S; Long, X				Tan, B.; Peng, R.; Li, H.; Jin, B.; Chu, S.; Long, X.			Molecular Design And Properties Prediction Of Cyclotetramethylene Tetranitramine (Hmx) Derivatives With Amido Groups	JOURNAL OF STRUCTURAL CHEMISTRY			English	Article						octogen; bond dissociation energy; enthalpy of formation; bond order	POLYATOMIC-MOLECULES; ENERGETIC MATERIALS; VAPOR-PRESSURE; EXPLOSIVES; HEAT	DFT/BLYP/DNP method was employed to calculate the total energy of cyclotetramethylene tetranitramine (HMX) derivatives modified with amido groups and the bond dissociation energy of the weakest N-NO(2) bond. The bond dissociation energy decreases with the number of amido groups. Isodesmic reactions were used to calculate standard molar enthalpies of formation of the derivatives; these values increase with the number of amido groups but not according to additivity rules. Entropy and heat capacity were also investigated. NBO analysis was applied to study the bond orders and the second perturbation energy of the N-NO(2) bonds; these parameters decrease regularly with the number of amido groups. Taking a single amido derivative as an example to analyze the vibration frequencies, it is shown that all the strongest vibrations are related with the N-NO(2) bonds.	[Tan, B.] Beijing Inst Technol, Coll Space Sci & Technol, Beijing 100081, Peoples R China; [Peng, R.; Li, H.; Jin, B.; Chu, S.] Southwest Univ Sci & Technol, Coll Mat Sci & Engn, Mianyang 621010, Sichuan, Peoples R China; [Long, X.] CAEP, Mianyang 621900, Sichuan, Peoples R China	Tan, B (reprint author), Beijing Inst Technol, Coll Space Sci & Technol, Beijing 100081, Peoples R China.	tanbisheng@swust.edu.cn			China Academy of Engineering Physics [2007A03002]; China national "973" subitem [61383010102]	The authors gratefully acknowledge the grants from China Academy of Engineering Physics ( project 2007A03002) and the China national "973" subitem (61383010102).		17	0	1	0	3	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0022-4766			J STRUCT CHEM+	J. Struct. Chem.	AUG	2010	51	4					616	621		10.1007/s10947-010-0091-2		6	Chemistry, Inorganic & Nuclear; Chemistry, Physical	Chemistry	652DE	WOS:000281980600002		
J	Zuo, KJ; Zhang, LD; Yao, HY; Wang, J				Zuo, Kaijing; Zhang, Lida; Yao, Hongyan; Wang, Jin			Isolation and functional expression of a novel lipase gene isolated directly from oil-contaminated soil	ACTA BIOCHIMICA POLONICA			English	Article						lipase; gene cloning; hydrolysis activity; meta-genomic library	SERRATIA-MARCESCENS; ESCHERICHIA-COLI; EXTRACELLULAR LIPASE; BACTERIAL LIPASES; THERMOSTABLE LIPASE; LIPOLYTIC-ACTIVITY; MICROBIAL LIPASES; ALKALINE LIPASE; CLONING; PURIFICATION	A lipase gene SR1 encoding an extracellular lipase was isolated from oil-contaminated soil and expressed in Escherichia coli. The gene contained a 1845-bp reading frame and encoded a 615-amino-acid lipase protein. The mature part of the lipase was expressed with an N-terminal histidine tag in E. coli BL21, purified and characterized biochemically. The results showed that the purified lipase combines the properties of Pseudomonas chlororaphis and other Serratia lipases characterized so far. Its optimum pH and temperature for hydrolysis activity was pH 5.5-8.0 and 37 degrees C respectively. The enzyme showed high preference for short chain substrates (556.3 +/- 2.8 U/mu g for C10 fatty acid oil) and surprisingly it also displayed high activity for long-chain fatty acid. The deduced lipase SR1 protein is probably from Serratia, and is organized as a prepro-protein and belongs to the GX-SXG lipase family.	[Wang, Jin] Southwest Univ Sci & Technol, Key Lab Nucl Waste Treatment & Environm Safety S, Coll Sci, Technol & Ind Natl Def, Mianyang, Sichuan, Peoples R China; [Zuo, Kaijing; Zhang, Lida; Yao, Hongyan] Shanghai Jiao Tong Univ, Coll Agr & Life Sci, Ctr Plant Biotechnol, Fudan SJTU Nottingham Plant Biotechnol R&D Ctr, Shanghai 200030, Peoples R China	Wang, J (reprint author), Southwest Univ Sci & Technol, Key Lab Nucl Waste Treatment & Environm Safety S, Coll Sci, Technol & Ind Natl Def, Mianyang, Sichuan, Peoples R China.	wjdsz@vip.sina.com.cn			Chinese National "863" High-Tech Program [2007AA05Z452]	This research was financially supported by Chinese National "863" High-Tech Program, No. 2007AA05Z452.		39	6	6	1	3	ACTA BIOCHIMICA POLONICA	WARSAW	PASTEURA 3, 02-093 WARSAW, POLAND	0001-527X	1734-154X		ACTA BIOCHIM POL	Acta Biochim. Pol.		2010	57	3					305	311				7	Biochemistry & Molecular Biology	Biochemistry & Molecular Biology	658YZ	WOS:000282533000009	20931089	
J	Song, XL; Zhang, JC; Guo, XB; Xiao, ZX				Song, Xiao-lin; Zhang, Ji-chun; Guo, Xue-bin; Xiao, Zheng-xue			Influence of blasting on the properties of weak intercalation of a layered rock slope	INTERNATIONAL JOURNAL OF MINERALS METALLURGY AND MATERIALS			English	Article						rock slope; bench blasting; numerical simulation; intercalation		A precondition for correctly analyzing the stability of a slope and designing its bracing structure is to study and determine the influence of excavation blasting on the properties of weak intercalation in the layered rock slope. On the basis of in-situ stratification-cracking blasting tests, the properties of weak intercalation were investigated using the LS-DYNA3D program. The displacement distribution and compactness of weak intercalation at different positions away from the charge center and their various laws are discussed. The critical displacement of stratification-cracking (0.1 min) was obtained, and an approximate expression of compactness were deduced. Furthermore, through the simulation of a layered rock blasting under the same geological conditions, the stratification-cracking effect of deep-hole blasting on the properties of weak intercalation was compared with that of short-hole blasting, and the influencing differences, in addition to their causes, were analyzed. The results indicated that the blasting cavity of weak intercalation in short-hole blasting with a radius of 40 min was nearly a circle, whose radius was about 28.7 cm; whereas in deep-hole blasting with a radius of 150 min, the shape of the blasting cavity was different from that in short-hole blasting, the radius of the cavity behind the charge (89.1 cm) was further smaller than those of the other three (138.7 cm), and there were sharp crinkles on the surface of weak intercalation. When the distance from the charge center (DCC) was less than 40 and 150 cm in short-hole and deep-hole blasting, respectively, the displacement of weak intercalation was reduced remarkably with the increase in DCC.	[Song, Xiao-lin; Zhang, Ji-chun] SW Jiaotong Univ, Sch Civil Engn, Chengdu 610031, Peoples R China; [Guo, Xue-bin; Xiao, Zheng-xue] Southwest Univ Sci & Technol, Sch Environm Engn, Mianyang 621002, Peoples R China	Song, XL (reprint author), SW Jiaotong Univ, Sch Civil Engn, Chengdu 610031, Peoples R China.	sxlin_2000@163.com			National Natural Science Foundation of China [50574076, 50838006]	This study was financially supported by the National Natural Science Foundation of China (No.50574076 and No.50838006).		18	2	4	0	10	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1674-4799	1869-103X		INT J MIN MET MATER	Int. J. Miner. Metall. Mater.	FEB	2009	16	1					7	11				5	Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering; Mining & Mineral Processing	Materials Science; Metallurgy & Metallurgical Engineering; Mining & Mineral Processing	428QH	WOS:000264863400002		
J	Zhan, YH; Yu, HY; Yan, YL; Chen, M; Lu, W; Li, SY; Peng, ZX; Zhang, W; Ping, SZ; Wang, J; Lin, M				Zhan, Yuhua; Yu, Haiying; Yan, Yongliang; Chen, Ming; Lu, Wei; Li, Shuying; Peng, Zixin; Zhang, Wei; Ping, Shuzhen; Wang, Jin; Lin, Min			Genes Involved in the Benzoate Catabolic Pathway in Acinetobacter calcoaceticus PHEA-2	CURRENT MICROBIOLOGY			English	Article							PSEUDOMONAS-PUTIDA; META-CLEAVAGE; STRAIN ADP1; DEGRADATION; CLONING; CATECHOL; BAYLYI; OPERON; BENM	A putative benM gene encoding a LysR-type regulator located upstream from the benA gene was found in Acinetobacter calcoaceticus PHEA-2. Disruption of benM or benA destroyed the ability of PHEA-2 to utilize benzoate. The benM mutant was used to construct a genomic library for isolation of the complete gene cluster responsible for benzoate degradation. Sequence analysis showed that the cluster has three putative operons: benM, benABCDE, and benKP. Unlike many well-characterized benzoate-degrading bacteria, muconate is unable to induce in vivo transcription of the PHEA-2 ben cluster. Reverse transcriptase-polymerase chain reaction (RT-PCR) results showed that the benABCDE operon is activated by the BenM protein in the presence of benzoate. Moreover, a gel-retardation assay demonstrated that BenM binds to the promotor region of the benA gene. The activities of catechol 1,2-dioxygenase (C12O) and catechol 2,3-dioxygenase (C23O) showed that PHEA-2 converted benzoate to catechol for further degradation, possibly via an ortho-cleavage pathway.	[Zhan, Yuhua; Yu, Haiying; Lin, Min] China Agr Univ, Coll Biol Sci, Beijing 100094, Peoples R China; [Zhan, Yuhua; Yu, Haiying; Yan, Yongliang; Chen, Ming; Lu, Wei; Li, Shuying; Peng, Zixin; Zhang, Wei; Ping, Shuzhen; Lin, Min] Chinese Acad Agr Sci, Biotechnol Res Inst, Beijing 100081, Peoples R China; [Wang, Jin] Southwest Univ Sci & Technol, Commiss Sci Technol & Ind Natl Def, Key Lab Nucl Waste Treatment & Environm Safety, Mianyang 621002, Peoples R China	Lin, M (reprint author), China Agr Univ, Coll Biol Sci, Beijing 100094, Peoples R China.	linmin57@vip.163.com		yan, yongliang/0000-0002-4297-6648	Ministry of Science and Technology of China [2007CB707805, 2007CB109203, 2007AA021304, 2006AA020101]; National Natural Science Foundation of China [30470047, 30770076]	We thank Dr. Masahiro Takeo (Hyogo University, Japan) for helpful comments. This work was supported by the Ministry of Science and Technology of China (National Basic Research Program 2007CB707805 and 2007CB109203, and National High-Tech Program 2007AA021304 and 2006AA020101) and the National Natural Science Foundation of China (30470047 and 30770076).		21	11	11	0	10	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0343-8651			CURR MICROBIOL	Curr. Microbiol.	DEC	2008	57	6					609	614		10.1007/s00284-008-9251-4		6	Microbiology	Microbiology	376IS	WOS:000261177900017	18781356	
J	Chen, QH; Zhang, YY; Liu, T; Wang, KL				Chen, Qing-Hu; Zhang, Yu-Yu; Liu, Tao; Wang, Ke-Lin			Numerically exact solution to the finite-size Dicke model	PHYSICAL REVIEW A			English	Article							QUANTUM PHASE-TRANSITION; ENTANGLEMENT; QUBIT; SYSTEMS; STATES; MATTER	By using extended bosonic coherent states, a technique to solve the Dicke model exactly is proposed in the numerical sense. The accessible system size is two orders of magnitude higher than that reported in the literature. Finite-size scaling for several observables, such as the ground-state energy, Berry phase, and concurrence, is analyzed. A scaling exponent for ground-state energy is found. An existing discrepancy in the scaling exponent of the concurrence is reconciled.	[Chen, Qing-Hu] Zhejiang Normal Univ, Ctr Stat & Theoret Condensed Matter Phys, Jinhua 321004, Peoples R China; [Chen, Qing-Hu; Zhang, Yu-Yu] Zhejiang Univ, Dept Phys, Hangzhou 310027, Peoples R China; [Liu, Tao; Wang, Ke-Lin] Southwest Univ Sci & Technol, Dept Phys, Mianyang 621010, Peoples R China; [Wang, Ke-Lin] Univ Sci & Technol China, Dept Modern Phys, Anhua 230026, Peoples R China	Chen, QH (reprint author), Zhejiang Normal Univ, Ctr Stat & Theoret Condensed Matter Phys, Jinhua 321004, Peoples R China.				National Natural Science Foundation of China; PCSIRT [IRT0754]; National Basic Research Program of China [2009CB929104]	This work was supported by the National Natural Science Foundation of China, PCSIRT (Grant No. IRT0754), and National Basic Research Program of China (Grant No. 2009CB929104).		31	78	87	3	51	AMER PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	2469-9926	2469-9934		PHYS REV A	Phys. Rev. A	NOV	2008	78	5							051801	10.1103/PhysRevA.78.051801		4	Optics; Physics, Atomic, Molecular & Chemical	Optics; Physics	376XF	WOS:000261215600011		
J	Zhang, RC; Xu, Y; Lu, ZY; Min, M; Gao, Y; Huang, YG; Lu, A				Zhang, Ri-Chao; Xu, Yi; Lu, Zhongyuan; Min, Min; Gao, Yong; Huang, Yigang; Lu, Ai			Investigation on the crystallization behavior of poly(ether ether ketone)/poly(phenylene sulfide) blends	JOURNAL OF APPLIED POLYMER SCIENCE			English	Article						poly(phenylene sulfide); poly(ether ether ketone); crystallization; nucleation	MULTIPLE MELTING BEHAVIOR; HIGH-DENSITY POLYETHYLENE; WATER LUBRICATED PEEK; PPS SLIDING CONTACTS; POLY(PHENYLENE SULFIDE); POLYPHENYLENE SULFIDE; POLY(P-PHENYLENE SULFIDE); POLYMER BLENDS; NONISOTHERMAL CRYSTALLIZATION; ENGINEERING POLYBLENDS	The morphology of nonisothermally crystallized poly(phenylene sulfide) (PPS) and its blend with poly (ether ether ketone) (PEEK) have been observed by polarized optical microscope (POM) equipped with a hot stage. The nonisothermal crystallization behavior of PPS and PEEK/PPS blend has also been investigated by differential scanning calorimetry (DSC). The maximum crystallization temperature for PEEK/PPS blend is about 15 degrees C higher than that of neat PPS, and the crystallization rate, characterized by half crystallization time, of the PEEK/PPS blend is also higher than that of the neat PPS. These results indicate that the PEEK acts as an effective nucleation agent and greatly accelerates the crystallization rate of PPS. The Ozawa model was used to analyze the nonisothermal crystallization kinetics of PPS and its blends. The Avrami exponent values of neat PPS are higher than that of its blend, which shows that the presence of PEEK changed the nucleation type of PPS from homogeneous nucleation to heterogeneous nucleation. (c) 2008 Wiley Periodicals, Inc.	[Zhang, Ri-Chao; Lu, Zhongyuan; Min, Min; Gao, Yong; Lu, Ai] Southwest Univ Sci & Technol, Coll Mat Sci & Engn, Mianyang 621002, Sichuan, Peoples R China; [Zhang, Ri-Chao; Xu, Yi] Sichuan Univ, Coll Polymer Sci & Engn, Chengdu 610039, Peoples R China; [Xu, Yi; Huang, Yigang; Lu, Ai] China Acad Engn Phys, Inst Chem Mat, Mianyang 621900, Sichuan, Peoples R China	Lu, A (reprint author), Southwest Univ Sci & Technol, Coll Mat Sci & Engn, Mianyang 621002, Sichuan, Peoples R China.	ai_lu@tom.com						42	17	18	1	30	JOHN WILEY & SONS INC	HOBOKEN	111 RIVER ST, HOBOKEN, NJ 07030 USA	0021-8995			J APPL POLYM SCI	J. Appl. Polym. Sci.	MAY 5	2008	108	3					1829	1836		10.1002/app.27725		8	Polymer Science	Polymer Science	274MC	WOS:000254004400058		
J	Huang, RH; Liu, JH; Lu, YM; Xia, RX				Huang, Ren-Hua; Liu, Ji-Hong; Lu, Yun-Mei; Xia, Ren-Xue			Effect of salicylic acid on the antioxidant system in the pulp of 'Cara cara' navel orange (Citrus sinensis L. Osbeck) at different storage temperatures	POSTHARVEST BIOLOGY AND TECHNOLOGY			English	Article						salicylic acid; antioxidant system; Citrus sinensis; temperature; storage	HYDROGEN-PEROXIDE; OXIDATIVE STRESS; CHILLING INJURY; CATALASE ACTIVITY; GLUTATHIONE-REDUCTASE; LIPID-PEROXIDATION; LEAF SENESCENCE; MANDARIN FRUITS; SINGLET OXYGEN; ABSCISIC-ACID	Effects of salicylic acid (SA) on active oxygen metabolism and the antioxidant system in the pulp of 'Cara cara' navel orange (C. sinensis L. Osbeck) fruit stored at 6 degrees C and 20 degrees C were investigated through analysis of the contents of malondialdehyde and hydrogen peroxide, the activities of superoxide dismutase (SOD, EC 1.15.1.1), catalase (CAT, EC 1.11.1.6), glutathione reductase (GR, EC 1.6.4.2), dehydroascorbate reductase (DHAR, EC 1.8.5.1) and ascorbate peroxidase (AsA-POD, EC 1.11.1.11), and non-enzyme components such as ascorbate (AsA), dehydroascorbate (DHAsA), glutathione (GSH) and oxidized glutathione (GSSG) in the AsA-GSH cycle. The results showed that the control fruit (dipped in water) had lower contents of malondialdehyde and activities of antioxidant enzymes at 6 degrees C, and lower contents of ascorbate and glutathione at 20 degrees C. During storage, the contents of hydrogen peroxide and malondialdehyde together with activities of SOD and CAT gradually increased at both storage temperatures. SA-pretreatment accelerated hydrogen peroxide accumulation and the increase in SOD, but it significantly slowed down malondialdehyde and CAT rate of increase during storage compared to controls under these two temperatures. At the end of storage, malondialdehyde contents in SA-pretreated fruit were 12.6 and 27.6% lower than those in control fruit. The activities of GR and DHAR and the contents of AsA and GSH during fruit storage declined but the SA-pretreatment reduced the rate of this decline. The SA-pretreated fruit had higher values of AsA/DHAsA than those in control fruit at the same temperature, and these ratios were highest at 6 degrees C. These results indicate that low storage temperature and exogenous SA can reduce lipid peroxidation by regulating the antioxidant system, and suggest that pretreatment with SA combined with lower Storage temperature might provide a useful means of maintaining beneficial antioxidant activity during storage of navel orange. (C) 2007 Elsevier B.V. All rights reserved.	[Huang, Ren-Hua; Lu, Yun-Mei; Xia, Ren-Xue] Huazhong Agr Univ, Coll Hort & Forestry Sci, Wuhan 430070, Peoples R China; [Liu, Ji-Hong] Huazhong Agr Univ, Natl Ctr Crop Mol Breeding, Natl Key Lab Crop Genet Improvment, Wuhan 430070, Peoples R China; [Huang, Ren-Hua; Lu, Yun-Mei] Southwest Univ Sci & Technol, Coll Life Sci & Engn, Mianyang 621002, Peoples R China	Xia, RX (reprint author), Huazhong Agr Univ, Coll Hort & Forestry Sci, Wuhan 430070, Peoples R China.	renxuexia@mail.hzau.edu.cn						45	53	65	4	22	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0925-5214			POSTHARVEST BIOL TEC	Postharvest Biol. Technol.	FEB	2008	47	2					168	175		10.1016/j.postharvbio.2007.06.018		8	Agronomy; Food Science & Technology; Horticulture	Agriculture; Food Science & Technology	261UO	WOS:000253105700004		
J	Liu, JS; Zeng, HZ; Kholkin, AL				Liu, J. S.; Zeng, H. Z.; Kholkin, A. L.			Cross-sectional analysis of ferroelectric domains in PZT capacitors via piezoresponse force microscopy	JOURNAL OF PHYSICS D-APPLIED PHYSICS			English	Article							THIN-FILMS; POLARIZATION REVERSAL; FATIGUE	Ferroelectric domains have been investigated on the cross-section of Pb(Zr0.55Ti0.45)O-3 (PZT) thin film capacitors by scanning probe microscopy. The static domain images on the cross-section were obtained by the lateral piezoresponse force microscopy (LPFM) method, in which the ac voltage used to induce the converse piezoelectric effect was applied between the conductive tip and the bottom electrode. The polarization component normal to the substrate could be characterized via both d(33) and d(15) piezoelectric coefficients, which resulted in a high resolution of LPFM images. After a variable dc bias was applied between the top and the bottom electrodes, the variations of domain image on the cross-section were recorded by the LPFM immediately. Upon the application of low bias, new domain sites appeared near the PZT/Pt interface opposite to the initial polarization. Forward stretch of new domains was facilitated under the dc field approaching the coercive field E-c. Under a very high field (about three times of the Ec), the sidewise expansion of columnar domains was observed. However, the domains were only partially switched even though a very high field was applied. The observed domain growth process indicated a lower energy barrier for nucleation compared with that of domain wall motion. Possible reasons for the incomplete switching are the substantial influences of the interface and depolarization in thin film capacitors.	Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang City, Peoples R China; Univ Aveiro, Dept Ceram & Glass Engn, P-3810193 Aveiro, Portugal; Univ Aveiro, CICECO, P-3810193 Aveiro, Portugal; Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China	Liu, JS (reprint author), Southwest Univ Sci & Technol, Sch Mat Sci & Engn, Mianyang City, Peoples R China.	liujs@ua.pt	Kholkin, Andrei/G-5834-2010	Kholkin, Andrei/0000-0003-3432-7610				22	3	3	1	12	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	0022-3727	1361-6463		J PHYS D APPL PHYS	J. Phys. D-Appl. Phys.	NOV 21	2007	40	22					7053	7056		10.1088/0022-3727/40/22/028		4	Physics, Applied	Physics	226RM	WOS:000250606200030		
J	Wu, JH; Bolton, PR; Murphy, JB; Wang, KL				Wu, Juhao; Bolton, Paul R.; Murphy, James B.; Wang, Kelin			ABCD formalism and attosecond few-cycle pulse via chirp manipulation of a seeded free electron laser	OPTICS EXPRESS			English	Article							OPTICS	An ABCD formalism is identified to characterize a seeded Free Electron Laser (FEL) with three chirps: an initial frequency chirp in the seed Laser, an energy chirp in the electron bunch, and an intrinsic frequency chirp due to the FEL process. A scheme of generating attosecond few-cycle pulses is proposed by invoking an FEL seeded by high-order harmonic generation (HHG) from an infrared laser. The HHG seed has generic attosecond structure. It is possible to manipulate these three chirps to maintain the attosecond structure via post-undulator chirped pulse compression. (C) 2007 Optical Society of America.	Stanford Univ, Stanford Linear Accelerator Ctr, Stanford, CA 94309 USA; Brookhaven Natl Lab, Natl Synchrotron Light Source, Upton, NY 11973 USA; Univ Sci & Technol China, Dept Modern Phys, Anhua 230026, Peoples R China; Southwest Univ Sci & Technol, Sch Sci, Mianyang 621010, Peoples R China	Wu, JH (reprint author), Stanford Univ, Stanford Linear Accelerator Ctr, Stanford, CA 94309 USA.	jhwu@slac.stanford.edu						15	10	10	1	3	OPTICAL SOC AMER	WASHINGTON	2010 MASSACHUSETTS AVE NW, WASHINGTON, DC 20036 USA	1094-4087			OPT EXPRESS	Opt. Express	OCT 1	2007	15	20					12749	12754		10.1364/OE.15.012749		6	Optics	Optics	218HN	WOS:000250006700020	19550543	
