PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Hong, T; Tang, ZM; Zhu, HC				Hong, Tao; Tang, Zhengming; Zhu, Huacheng			Anomalous dielectric relaxation with linear reaction dynamics in space-dependent force fields	JOURNAL OF CHEMICAL PHYSICS			English	Article							RANDOM-WALKS; DIFFUSION; TRANSPORT; CHEMISTRY	The anomalous dielectric relaxation of disordered reaction with linear reaction dynamics is studied via the continuous time random walk model in the presence of space-dependent electric field. Two kinds of modified reaction-subdiffusion equations are derived for different linear reaction processes by the master equation, including the instantaneous annihilation reaction and the noninstantaneous annihilation reaction. If a constant proportion ofwalkers is added or removed instantaneously at the end of each step, there will be a modified reaction-subdiffusion equation with a fractional order temporal derivative operating on both the standard diffusion term and a linear reaction kinetics term. If the walkers are added or removed at a constant per capita rate during the waiting time between steps, there will be a standard linear reaction kinetics term but a fractional order temporal derivative operating on an anomalous diffusion term. The dielectric polarization is analyzed based on the Legendre polynomials and the dielectric properties of both reactions can be expressed by the effective rotational diffusion function and component concentration function, which is similar to the standard reaction-diffusion process. The results show that the effective permittivity can be used to describe the dielectric properties in these reactions if the chemical reaction time is much longer than the relaxation time. Published by AIP Publishing.	[Hong, Tao; Tang, Zhengming] China West Normal Univ, Coll Elect Informat Engn, Nanchong 637002, Peoples R China; [Zhu, Huacheng] Sichuan Univ, Coll Elect & Informat Engn, Chengdu 610064, Peoples R China	Hong, T (reprint author), China West Normal Univ, Coll Elect Informat Engn, Nanchong 637002, Peoples R China.	scu_mandela@qq.com						28	0	0	1	1	AMER INST PHYSICS	MELVILLE	1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA	0021-9606	1089-7690		J CHEM PHYS	J. Chem. Phys.	DEC 28	2016	145	24							244105	10.1063/1.4972863		8	Chemistry, Physical; Physics, Atomic, Molecular & Chemical	Chemistry; Physics	EI0OW	WOS:000392174800008	28049303	
J	Chen, ZJ; Xu, GB; Yan, JG; Kuang, Z; Chen, TH; Li, DH				Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.; Chen, T. H.; Li, D. H.			First-principles investigation of mechanical and electronic properties of MFeAs (M = Cu, Li, and Na)	JOURNAL OF APPLIED PHYSICS			English	Article							ELASTIC PROPERTIES; SUPERCONDUCTIVITY; PEROVSKITE; BAFE2AS2; LIFEAS	Mechanical and electronic properties of Cu2Sb-type compounds MFeAs (M = Cu, Li, and Na) have been studied by the first-principles calculations. The main trends in structure parameters, mechanical parameters, electronic bands, and densities of states (DOS) for MFeAs are analyzed according to the variable cation M sites. Our results show that the lattice constants increase, while the bulk modulus, shear modulus, and Young's modulus decrease with the increasing radii of M sites in the sequence CuFeAs -> LiFeAs -> NaFeAs. Mulliken overlap population indicates that different M atoms in MFeAs (M = Cu, Li, and Na) would influence the bond nature of Fe-As, which may induce the superconductivity. The disappearance of the hole-pockets affects the superconductivity in CuFeAs. Although the value of the DOSs N(E-F) at the Fermi level grows with decreasing radii of M sites, it is not the only factor influencing the superconductivity. Due to the repulsive interaction between Cu-3d and Fe-3d states in CuFeAs phase, it would change the position of Fe-3d orbits and Fermi energy level after introducing Cu in this structure. Therefore, after introducing Cu in the structure would induce the different position of Fe-3d states and Fermi energy level. Therefore, we believe that the component M has an important influence on the superconductivity. Published by AIP Publishing.	[Chen, Z. J.; Xu, G. B.; Yan, J. G.; Kuang, Z.] Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China; [Chen, T. H.] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Peoples R China; [Li, D. H.] Sichuan Normal Univ, Coll Phys & Elect Engn, Chengdu 610066, Peoples R China	Chen, ZJ (reprint author), Univ Elect Sci & Technol China, Sch Phys Elect, Chengdu 610054, Peoples R China.	zjchen@uestc.edu.cn			National research project of China West Normal University [13C008]; Key Projects of Sichuan Provincial Education Department [2016ZD1662]; Basic Research Project of Science and Technology Department of Sichuan Province [2014JY0133]	The authors acknowledge the support from the National research project of China West Normal University (13C008); the Key Projects of Sichuan Provincial Education Department (2016ZD1662); and the Basic Research Project of Science and Technology Department of Sichuan Province (2014JY0133).		51	0	0	3	3	AMER INST PHYSICS	MELVILLE	1305 WALT WHITMAN RD, STE 300, MELVILLE, NY 11747-4501 USA	0021-8979	1089-7550		J APPL PHYS	J. Appl. Phys.	DEC 21	2016	120	23							235103	10.1063/1.4969042		8	Physics, Applied	Physics	EH3PZ	WOS:000391685500028		
J	Tong, H; Wang, W; Liu, XW; Xu, RX				Tong, H.; Wang, W.; Liu, X. W.; Xu, R. X.			ROTATIONAL EVOLUTION OF MAGNETARS IN THE PRESENCE OF A FALLBACK DISK	ASTROPHYSICAL JOURNAL			English	Article						accretion, accretion disks; pulsars: individual (1E 161348-5055); stars: magnetars	X-RAY SOURCE; MAGNETIZED NEUTRON-STARS; YOUNG SUPERNOVA REMNANT; COMPACT OBJECTS; SPIN EVOLUTION; LONG-PERIOD; BLACK-HOLE; ACCRETION; FIELD; PULSARS	Magnetars may have a strong surface dipole field. Observationally, two magnetars may have passive fallback disks. In the presence of a fallback disk, the rotational evolution of magnetars may be changed. In the self-similar fallback disk model, it is found that (1) when the disk mass is significantly lower than 10(-6). M-circle dot, the magnetar is unaffected by the fallback disk and it will be a normal magnetar. (2) When the disk mass is high but the surface dipole field of the magnetar is about or below 10(14) G, the magnetar will also be a normal magnetar. A magnetar plus a passive fallback disk system is expected. This may correspond to the observations of magnetars 4U 0142+61 and 1E 2259+586. (3) When the disk mass is high and the surface dipole field of the magnetar is as high as 4 x 10(15) G, the magnetar will evolve from the ejector phase to the propeller phase, and then enter rotational equilibrium. The magnetar will be slowed down quickly in the propeller phase. The final rotational period can be as high 2 x 10(4) s. This may correspond to the super-slow magnetar in the supernova remnant RCW 103. Therefore, the three types of magnetars can be understood in a unified way.	[Tong, H.] Chinese Acad Sci, Xinjiang Astron Observ, Urumqi 830011, Xinjiang, Peoples R China; [Wang, W.] Chinese Acad Sci, Natl Astron Observ, Beijing 100012, Peoples R China; [Liu, X. W.] China West Normal Univ, Sch Phys, Nanchong 637002, Peoples R China; [Xu, R. X.] Peking Univ, Sch Phys, Beijing 100871, Peoples R China	Tong, H (reprint author), Chinese Acad Sci, Xinjiang Astron Observ, Urumqi 830011, Xinjiang, Peoples R China.	tonghao@xao.ac.cn			973 Program [2015CB857100]; Qing Cu Hui of CAS; NSFC [U1531137]	H. Tong is supported by 973 Program (2015CB857100), Qing Cu Hui of CAS, and NSFC (U1531137).		51	0	0	0	0	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	0004-637X	1538-4357		ASTROPHYS J	Astrophys. J.	DEC 20	2016	833	2							265	10.3847/1538-4357/833/2/265		6	Astronomy & Astrophysics	Astronomy & Astrophysics	EG6PY	WOS:000391169600140		
J	Qing, J; Yang, ZS; He, K; Zhang, ZJ; Gu, XD; Yang, XY; Zhang, W; Yang, B; Qi, DW; Dai, Q				Qing, Jing; Yang, Zhisong; He, Ke; Zhang, Zejun; Gu, Xiaodong; Yang, Xuyu; Zhang, Wen; Yang, Biao; Qi, Dunwu; Dai, Qiang			The minimum area requirements (MAR) for giant panda: an empirical study	SCIENTIFIC REPORTS			English	Article							VIABLE POPULATION-SIZE; HABITAT FRAGMENTATION; MINSHAN MOUNTAINS; FOREST BIRDS; AILUROPODA-MELANOLEUCA; SPECIES DISTRIBUTIONS; SUITABLE HABITAT; BOREAL FOREST; DOSE-RESPONSE; RED PANDAS	Habitat fragmentation can reduce population viability, especially for area-sensitive species. The Minimum Area Requirements (MAR) of a population is the area required for the population's long-term persistence. In this study, the response of occupancy probability of giant pandas against habitat patch size was studied in five of the six mountain ranges inhabited by giant panda, which cover over 78% of the global distribution of giant panda habitat. The probability of giant panda occurrence was positively associated with habitat patch area, and the observed increase in occupancy probability with patch size was higher than that due to passive sampling alone. These results suggest that the giant panda is an area-sensitive species. The MAR for giant panda was estimated to be 114.7 km(2) based on analysis of its occupancy probability. Giant panda habitats appear more fragmented in the three southern mountain ranges, while they are large and more continuous in the other two. Establishing corridors among habitat patches can mitigate habitat fragmentation, but expanding habitat patch sizes is necessary in mountain ranges where fragmentation is most intensive.	[Qing, Jing; Yang, Zhisong; He, Ke] China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637002, Peoples R China; [Dai, Qiang] Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China; [Zhang, Zejun] China West Normal Univ, Inst Rare Anim & Plants, Nanchong 637002, Peoples R China; [Gu, Xiaodong; Yang, Xuyu] Sichuan Stn Wild Life Survey & Management, Chengdu 610082, Peoples R China; [Zhang, Wen] Sichuan Prov Inst Forestry Survey & Planning, Chengdu 610082, Peoples R China; [Yang, Biao] Conservat Int, Chengdu 610064, Peoples R China; [Qi, Dunwu] Sichuan Key Lab Conservat Biol Endangered Wildlif, Chengdu Res Base Giant Panda Breeding, Chengdu 610086, Peoples R China	Yang, ZS (reprint author), China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637002, Peoples R China.; Dai, Q (reprint author), Chinese Acad Sci, Chengdu Inst Biol, Chengdu 610041, Peoples R China.; Zhang, ZJ (reprint author), China West Normal Univ, Inst Rare Anim & Plants, Nanchong 637002, Peoples R China.	yangzhisong@126.com; zhangzj@ioz.ac.cn; daiqiang@cib.ac.cn			National Key Programme of Research and Development, Ministry of Science and Technology [2016YFC0503200]; Fourth National Giant Panda Survey (Sichuan); Reintroduction Program of Captive Giant Pandas	We are grateful for comments from B. Fagan. Thanks to the team behind the Fourth National Giant Panda Survey (Sichuan). This work was supported by funds from the National Key Programme of Research and Development, Ministry of Science and Technology (2016YFC0503200) to the Z.Y., Z.Z., G.X., Y.X., Q.D., D.Q., the Fourth National Giant Panda Survey (Sichuan) to Z.Y., Z.Z., Q.D., W.Z. and D.Q., and the Reintroduction Program of Captive Giant Pandas to Z.Y. and Q.D.		94	0	0	31	31	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	DEC 8	2016	6								37715	10.1038/srep37715		9	Multidisciplinary Sciences	Science & Technology - Other Topics	EE3JO	WOS:000389484700001	27929520	
J	Li, HY; Liao, JF				Li, Hong-Ying; Liao, Jia-Feng			Existence and multiplicity of solutions for a superlinear Kirchhoff-type equations with critical Sobolev exponent in R-N	COMPUTERS & MATHEMATICS WITH APPLICATIONS			English	Article						Kirchhoff-type equation; Critical exponent; Positive solutions; Infinitely many solutions; Variational method	GROUND-STATE SOLUTIONS; CRITICAL GROWTH; CRITICAL NONLINEARITY; POSITIVE SOLUTIONS; R-3; OPERATOR	In this article, we consider a class of superlinear Kirchhoff-type equations with critical growth [GRAPHICS] where lambda, mu > 0, N >= 4, 2 <= q < 2*, 2* = 2N/N-2, a, b >= 0 and a + b > 0, k satisfies some conditions. By using the variational method, the multiplicity of positive solutions and infinitely many pairs of solutions are obtained. (C) 2016 Elsevier Ltd. All rights reserved.	[Li, Hong-Ying; Liao, Jia-Feng] China West Normal Univ, Sch Math & Informat, Nanchong 637002, Sichuan, Peoples R China; [Liao, Jia-Feng] Zunyi Normal Coll, Sch Math & Computat Sci, Zunyi 563002, Guizhou, Peoples R China	Liao, JF (reprint author), China West Normal Univ, Sch Math & Informat, Nanchong 637002, Sichuan, Peoples R China.	liaojiafeng@163.com			Natural Science Foundation of Education of Guizhou Province [KY[2016]046]; Science and Technology Foundation of Guizhou Province [LH[2015]7049, LH[2016]7033]	Supported by Natural Science Foundation of Education of Guizhou Province (No. KY[2016]046); Science and Technology Foundation of Guizhou Province (Nos. LH[2015]7049, and LH[2016]7033).		34	0	0	0	0	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0898-1221	1873-7668		COMPUT MATH APPL	Comput. Math. Appl.	DEC	2016	72	12					2900	2907				8	Mathematics, Applied	Mathematics	EF7KS	WOS:000390509100006		
J	Liao, WB; Lou, SL; Zeng, Y; Kotrschal, A				Liao, Wen Bo; Lou, Shang Ling; Zeng, Yu; Kotrschal, Alexander			Large Brains, Small Guts: The Expensive Tissue Hypothesis Supported within Anurans	AMERICAN NATURALIST			English	Article						anurans; brain size evolution; expensive tissue hypothesis; trade-off; phylogenetic comparative methods	RELATIVE BRAIN; LIFE-HISTORY; SPERM COMPETITION; AFRICAN CICHLIDS; RANA-TEMPORARIA; SIZE EVOLUTION; MATING SYSTEM; ENCEPHALIZATION; METABOLISM; COSTS	Brain size differs substantially among species, and several hypotheses have been proposed to explain the evolution of brain size. Because the brain is among the most energetically expensive organs in the vertebrate body, trade-offs have been hypothesized to exert constraints on brain size evolution. Prominently, the expensive tissue hypothesis (ETH) proposes that reducing the size of another expensive organ, such as the gut, should compensate for the cost of a large brain. But energetic constraints may also drive covariation between the brain and other costly traitssuch as body maintenance, locomotion, or reproductionas formulated in the energy trade-off hypothesis. To date, these hypotheses have mainly been tested in homeothermic animals and within the ectothermic animals, primarily in fishes. Here, we undertake a comparative test of the interplay between energetic limitations and brain size evolution within amphibians. After controlling for phylogenetic relationships and body size, we find a negative correlation between brain mass and the length of the digestive tract within 30 species of anurans. We further find that the evolution of large brain size is accompanied by an increase in female reproductive investment into egg size. Our results suggest that the evolution of brain size follows general patterns across vertebrate clades.	[Liao, Wen Bo; Lou, Shang Ling; Zeng, Yu] China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637009, Sichuan, Peoples R China; [Kotrschal, Alexander] Stockholm Univ, Inst Zool, S-10691 Stockholm, Sweden	Liao, WB (reprint author), China West Normal Univ, Key Lab Southwest China Wildlife Resources Conser, Minist Educ, Nanchong 637009, Sichuan, Peoples R China.	liaobo_0_0@126.com		Kotrschal, Alexander/0000-0003-3473-1402	National Natural Sciences Foundation of China [31471996]; Sichuan Province Outstanding Youth Academic Technology Leaders Program [2013JQ0016]; Sichuan Province Department of Education Innovation Team Project [15TD0019]; Austrian Science Fund [J 3304-B24]	We thank M. Tsuboi for conceptual discussions. Financial support was provided by the National Natural Sciences Foundation of China (31471996 to W.B.L), Sichuan Province Outstanding Youth Academic Technology Leaders Program (2013JQ0016 to W.B.L), Sichuan Province Department of Education Innovation Team Project (15TD0019 to W.B.L), and the Austrian Science Fund (J 3304-B24 to A.K.). The reported experiments comply with the current laws of China concerning animal experimentation, and permission to collect amphibians was received from the Ethical Committee for Animal Experiments in China Council on Animal Care guidelines. The sacrifice of animals was approved by the Animal Ethics Committee at China West Normal University.		68	5	5	12	12	UNIV CHICAGO PRESS	CHICAGO	1427 E 60TH ST, CHICAGO, IL 60637-2954 USA	0003-0147	1537-5323		AM NAT	Am. Nat.	DEC	2016	188	6					693	700		10.1086/688894		8	Ecology; Evolutionary Biology	Environmental Sciences & Ecology; Evolutionary Biology	ED2NM	WOS:000388683800010	27860511	
J	Peng, QH; Liu, JJ; Chou, CK				Peng, Qiu-He; Liu, Jing-Jing; Chou, Chi-Kang			A possible influence on standard model of quasars and active galactic nuclei in strong magnetic field	ASTROPHYSICS AND SPACE SCIENCE			English	Article						Quasars: general; Galaxies: magnetic fields; Physical date and processes: black hole physics	HOT ACCRETION FLOWS; BLACK-HOLES; NUMERICAL-SIMULATION; SAGITTARIUS-A; INSTABILITY; OUTFLOWS; DISKS; MONOPOLES; DYNAMO; TRANSPORT	Recent observational evidence indicates that the center of our Milky Way galaxy harbors a super-massive object with ultra-strong radial magnetic field (Eatough et al. in Nature 591:391, 2013). Here we demonstrate that the radiations observed in the vicinity of the Galactic Center (GC) (Falcke and Marko in arXiv:1311.1841v1, 2013) cannot be emitted by the gas of the accretion disk since the accreting plasma is prevented from approaching to the GC by the abnormally strong radial magnetic field. These fields obstruct the infalling accretion flow from the inner region of the disk and the central massive black hole in the standard model. It is expected that the observed radiations near the GC can not be generated by the central black hole. We also demonstrate that the observed ultra-strong radial magnetic field near the GC (Eatough et al. in Nature 591:391, 2013) can not be generated by the generalized a-turbulence type dynamo mechanism since preliminary qualitative estimate in terms of this mechanism gives a magnetic field strength six orders of magnitude smaller than the observed field strength at r = 0.12 pc. However, both these difficulties or the dilemma of the standard model can be overcome if the central black hole in the standard model is replaced by a model of a super-massive star with magnetic monopoles (SMSMM) (Peng and Chou in Astro-phys. J. Lett. 551:23, 2001). Five predictions about the GC have been proposed in the SMSMM model. Especially, three of them are quantitatively consistent with the observations. They are:(1) Plenty of positrons are produced, the production rate is 6 x 10(42) e(+) s(-1) or so, this prediction is confirmed by the observation (Kn odlseder et al. 2003); (2) The lower limit of the observed ultra-strong radial magnetic field near the GC (Eatough et al. in Nature 591:391, 2013), is just good agreement with the predicted estimated radial magnetic field from the SMSMM model, which really is an exclusive and a key prediction; (3) The observed power peaking of the thermal radiation is essentially the same as the theoretical prediction from the SMSMM model. Furthermore, the observed ultra-strong radial magnetic field in the vicinity of the GC may be considered as the astronomical evidence for the existence of magnetic monopoles as predicted by the particle physics.	[Peng, Qiu-He] Nanjing Univ, Dept Astron, Nanjing 210000, Jiangshu, Peoples R China; [Peng, Qiu-He] China West Normal Univ, Sch Phys & Space Sci, Nanchong 637009, Peoples R China; [Liu, Jing-Jing] Hainan Trop Ocean Univ, Coll Marine Sci & Technol, Sanya 572022, Hainan, Peoples R China; [Chou, Chi-Kang] Chinese Acad Sci, Natl Astron Observ, Beijing 100000, Peoples R China	Liu, JJ (reprint author), Hainan Trop Ocean Univ, Coll Marine Sci & Technol, Sanya 572022, Hainan, Peoples R China.	qhpeng@nju.edu.cn			National Natural Science Foundation of China [10773005, 11273020, 11565020]; Counterpart Foundation of Sanya [2016PT43]; Special Foundation of Science and Technology Cooperation for Advanced Academy and Regional of Sanya [2016YD28]; Natural Science Foundation of Hainan province [114012]	We would like to thank Prof. Daniel Wang, Prof. Y.F. Huang, Prof. P.F. Chen and Prof. J.L. Han for their help to inform us some new information of observations. This work was supported in part by the National Natural Science Foundation of China under grants 10773005, 11273020, 11565020, and the Counterpart Foundation of Sanya under grant 2016PT43, the Special Foundation of Science and Technology Cooperation for Advanced Academy and Regional of Sanya under grant 2016YD28, and the Natural Science Foundation of Hainan province under grant 114012.		46	0	0	0	0	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0004-640X	1572-946X		ASTROPHYS SPACE SCI	Astrophys. Space Sci.	DEC	2016	361	12							388	10.1007/s10509-016-2977-8		10	Astronomy & Astrophysics	Astronomy & Astrophysics	ED8WB	WOS:000389150500019		
J	Zhu, XD; Wu, D; Wu, SQ; Yang, SZ				Zhu, Xiao-Dan; Wu, Di; Wu, Shuang-Qing; Yang, Shu-Zheng			New forms and thermodynamics of the neutral rotating squashed black hole in five-dimensional vacuum Einstein gravity theory	GENERAL RELATIVITY AND GRAVITATION			English	Article						Rotating squashed black hole; Five-dimensional vacuum gravity; Thermodynamics	KALUZA-KLEIN THEORY; HORIZONS; MASS; ENERGY	We initiated the program to look for new and simple forms for the five-dimensional rotating squashed black holes by solving directly the equation of motion. In a recent paper, the metric ansatz of dimensional reduction along the fifth spatial dimension was used to obtain a new but rather simple form for the five-dimensional rotating uncharged black hole solution with squashed horizons via solving the vacuum Einstein field equations. In this work, we continue to seek for another new but relatively simple form for the neutral rotating squashed black hole solution by using a different metric ansatz of time-like dimensional reduction. We then find its relation to our previous solution and investigate its thermodynamics by means of the counterterm method. Compared with the previous results given by the other author, both of our new metric forms and their associated thermodynamic expressions are very concise and elegant. Both of two new forms for the neutral rotating squashed black hole solution presented in this paper can be used as the seed to generate its charged generalization in D = 5 minimal supergravity.	[Zhu, Xiao-Dan; Wu, Di; Wu, Shuang-Qing; Yang, Shu-Zheng] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Sichuan, Peoples R China; [Wu, Shuang-Qing] China West Normal Univ, Inst Theoret Phys, Nanchong 637002, Sichuan, Peoples R China	Wu, D (reprint author), China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Sichuan, Peoples R China.	sqwu@cwnu.edu.cn			NSFC [10975058, 11275157, 11675130, 11573022]	This work is supported in part by the NSFC under Grant Nos. 10975058, 11275157, 11675130 and 11573022.		46	0	0	1	1	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0001-7701	1572-9532		GEN RELAT GRAVIT	Gen. Relativ. Gravit.	DEC	2016	48	12							154	10.1007/s10714-016-2149-8		17	Astronomy & Astrophysics; Physics, Multidisciplinary; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	ED1OS	WOS:000388615400002		
J	Pu, J; Han, Y				Pu, Jin; Han, Yan			Hawking Radiation of the Charged Particle via Tunneling from the Kaluza-Klein Black Hole	INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS			English	Article						Tunneling radiation; Geodesic equation; Lagrangian analysis; Kaluza-Klein black hole	SELF-INTERACTION; DIRAC PARTICLES; QUANTUM; RADIANCE; SPECTROSCOPY; SPECTRUM; HORIZONS; CREATION; SPACES	In this paper, by applying the Lagrangian analysis on the action, we first redefine the geodesic equation of the charged massive particle. Then, basing on the new definition of the geodesic equation, we revisit the Hawking radiation of the charged massive particle via tunneling from the event horizon of the Kaluza-Klein black hole. In our treatment, the geodesic equation of the charged massive particle is defined uniformly with that of the massless particle, which overcomes the shortcomings of its previous definition, and is more suitable for the tunneling mechanism. The highlight of our work is a new and important development for the Parikh-Wilczek's tunneling method.	[Pu, Jin] China West Normal Univ, Coll Phys & Space Sci, Nanchong 637002, Sichuan, Peoples R China; [Han, Yan] China West Normal Univ, Coll Math & Informat, Nanchong 637002, Sichuan, Peoples R China	Han, Y (reprint author), China West Normal Univ, Coll Math & Informat, Nanchong 637002, Sichuan, Peoples R China.	red6011@126.com			Sichuan Youth Science and Technology Foundation [2011JQ0019]; FANEDD [201319]; Innovative Research Team in College of Sichuan Province [13TD0003]; Sichuan Natural Science Foundation [16ZB0178]; China West Normal University [14D014];  [NCET-12-1060]	This work is supported by the Program for NCET-12-1060, by the Sichuan Youth Science and Technology Foundation with Grant No. 2011JQ0019, and by FANEDD with Grant No. 201319, and by the Innovative Research Team in College of Sichuan Province with Grant No. 13TD0003, and by Sichuan Natural Science Foundation with Grant No. 16ZB0178, and by the starting fund of China West Normal University with Grant No. 14D014.		70	0	0	1	1	SPRINGER/PLENUM PUBLISHERS	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0020-7748	1572-9575		INT J THEOR PHYS	Int. J. Theor. Phys.	DEC	2016	55	12					5077	5085		10.1007/s10773-016-3129-1		9	Physics, Multidisciplinary	Physics	ED1PX	WOS:000388618500004		
J	Liao, JF; Zhang, P; Liu, J; Tang, CL				Liao, Jiafeng; Zhang, Peng; Liu, Jiu; Tang, Chunlei			EXISTENCE AND MULTIPLICITY OF POSITIVE SOLUTIONS FOR A CLASS OF KIRCHHOFF TYPE PROBLEMS AT RESONANCE	DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES S			English	Article						Kirchhoff type equation; resonance; positive solution; Nehari method	SINGULARITY; EQUATIONS; BEHAVIOR	In this paper, we study a class of Kirchhoff type problems with resonance { - (a vertical bar b integral(Omega) vertical bar del u vertical bar(2) dx) Delta u = nu u(3) vertical bar lambda vertical bar u vertical bar(q-1)u, in Omega { u = 0, on partial derivative Omega where Omega subset of R-3 is a bounded domain, a, b, nu, lambda > 0 and 0 < q < 1. By a minimizing method, we obtain the existence of positive ground state solutions for all 0 < nu <= b nu 1 and lambda > 0. Furthermore, using the Nehari method, we obtain two positive solutions for all v > b nu(1) and 0 < lambda < (lambda) over tilde, where nu(1) is the first eigenvalue of problem (5) and (lambda) over bar is a positive constant. And one of the two positive solutions is a ground state solution.	[Liao, Jiafeng; Tang, Chunlei] Southwest Univ, Sch Math & Stat, Chongqing 400715, Peoples R China; [Liao, Jiafeng] China West Normal Univ, Sch Math & Informat, Nanchong 637002, Peoples R China; [Zhang, Peng] Zunyi Normal Coll, Sch Math & Computat Sci, Zunyi 563002, Peoples R China; [Liu, Jiu] Qiannan Normal Univ Nationalities, Sch Math & Stat, Duyun 558000, Peoples R China	Tang, CL (reprint author), Southwest Univ, Sch Math & Stat, Chongqing 400715, Peoples R China.	liaojiafeng@163.com; gzzypd@sina.com; jiuliu2011@163.com; tangcl@swu.edu.cn			National Natural Science Foundation of China [11471267]; Science and Technology Foundation of Guizhou Province [LH [2015]7007, LH [2016]7003]; Natural Science Foundation of Education of Guizhou Province [KY[2016]046]	Supported by the National Natural Science Foundation of China (No. 11471267); Science and Technology Foundation of Guizhou Province (No. LH [2015]7007; No. LH [2016]7003); Natural Science Foundation of Education of Guizhou Province (No. KY[2016]046).		23	0	0	6	6	AMER INST MATHEMATICAL SCIENCES-AIMS	SPRINGFIELD	PO BOX 2604, SPRINGFIELD, MO 65801-2604 USA	1937-1632	1937-1179		DISCRETE CONT DYN-S	Discret. Contin. Dyn. Syst.-Ser. S	DEC	2016	9	6					1959	1974		10.3934/dcdss.2016080		16	Mathematics, Applied	Mathematics	EB8TL	WOS:000387663900017		
